OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
224,2012/06/22,45-6,0.46,0.45,0.49
225,2012/06/23,45-7,0.56,0.48,0.51
226,2012/06/25,45-8,0.45,0.37,0.4
227,2012/07/05,45-12,0.23,0.3,0.32
228,2012/07/08,45-13,0.32,0.29,0.31
229,2012/07/10,45-14,0.23,0.29,0.31
230,2012/07/13,45-15,0.34,0.32,0.34
231,2012/07/14,45-16,0.28,0.29,0.31
232,2012/06/07,51-1,0.12,0.14,0.14
233,2012/06/09,51-2,0.21,0.19,0.19
234,2012/06/17,51-2,0.26,0.25,0.25
235,2012/06/12,51-3,0.39,0.32,0.33
236,2012/07/19,51-3,0.24,0.23,0.23
237,2012/06/15,51-4,0.14,0.15,0.15
238,2012/06/17,51-5,0.35,0.35,0.35
239,2012/06/22,51-6,0.25,0.27,0.27
240,2012/06/23,51-7,0.22,0.25,0.25
241,2012/06/27,51-9,0.11,0.11,0.11
242,2012/06/29,51-10,0.13,0.13,0.13
243,2012/07/03,51-11,0.11,0.1,0.1
244,2012/07/05,51-12,0.15,0.17,0.17
245,2012/07/08,51-13,0.13,0.16,0.16
246,2012/07/10,51-14,0.12,0.11,0.11
247,2012/07/13,51-15,0.21,0.21,0.21
248,2012/07/14,51-16,0.16,0.15,0.15
249,2012/06/07,52-1,0.09,0.1,0.08
250,2012/07/17,52-2,0.25,0.24,0.19
251,2012/06/12,52-3,0.32,0.3,0.24
252,2012/07/19,52-3,0.19,0.18,0.15
253,2012/06/15,52-4,0.21,0.2,0.16
254,2012/06/17,52-5,0.26,0.26,0.21
255,2012/06/22,52-6,0.21,0.21,0.17
256,2012/06/23,52-7,0.11,0.11,0.09
257,2012/06/25,52-8,0.12,0.1,0.08
258,2012/06/27,52-9,0.05,0.05,0.04
259,2012/06/29,52-10,0.09,0.1,0.08
260,2012/07/03,52-11,0.13,0.11,0.09
261,2012/07/05,52-12,0.2,0.24,0.19
262,2012/07/08,52-13,0.12,0.15,0.12
263,2012/07/10,52-14,0.12,0.11,0.09
264,2012/07/13,52-15,0.1,0.11,0.09
265,2012/07/14,52-16,0.04,0.04,0.03
266,2012/06/07,53-1,0.15,0.15,0.13
267,2012/07/17,53-2,0.18,0.19,0.17
268,2012/06/12,53-3,0.35,0.38,0.34
269,2012/07/19,53-3,0.16,0.15,0.14
270,2012/06/15,53-4,0.3,0.28,0.25
271,2012/06/17,53-5,0.32,0.33,0.3
272,2012/06/22,53-6,0.22,0.22,0.2
273,2012/06/23,53-7,0.18,0.18,0.16
274,2012/06/25,53-8,0.11,0.1,0.09
275,2012/06/27,53-9,0.16,0.15,0.14
276,2012/06/29,53-10,0.15,0.15,0.14
277,2012/07/03,53-11,0.12,0.11,0.1
278,2012/07/08,53-13,0.2,0.21,0.19
279,2012/07/10,53-14,0.17,0.16,0.14
